question|fortune
Will the Democrats maintain their majority in the US Senate after the 2014 elections ?|It is certain
Will Donald Trump back out of the presidential election ?|It is decidedly so
Will Ed Balls be re-elected ?|Better not tell you now
Will Wisconsin win the 2015 NCAA championship ?|My reply is no
Will Tony Martin win Tour de France 2015 ?|Yes – definitely
Will Roger Federer win the 2015 Wimbledon Championship ?|Better not tell you now
Will the New York Rangers win the Stanley Cup ?|My reply is no
Will the Kansas City Royals win the 2014 World Series ?|Without a doubt
Did the Kansas City Royals win the 2014 baseball World Series ?|Very doubtful
Do the Seahawks win Super Bowl XLIX ?|Concentrate and ask again
Will the conservatives lose the 2015 UK election ?|Reply hazy, try again
Did the Washington Nationals play in the World Series in 2014 ?|Very doubtful
Will the US Supreme Court rule marriage should be ONLY between a man and a woman ?|You may rely on it
Will India win cricket series against Bangladesh in 2015 ?|Cannot predict now
Will the Seattle Seahawks win the 2015 Super Bowl ?|Outlook good
Can LeBron bring an NBA championship to Cleveland ?|Outlook good
Did Barack Obama get impeached in november 2014 ?|Without a doubt
Will Stan Wawrinka lose the men ' s French Open 2015 championship ?|Without a doubt
Will American Pharoah win the Travers Stakes|Outlook not so good
Had Roger Federer beat Martin Cilic in US OPEN 2014 ?|Concentrate and ask again
will Serena Williams lose the 2015 Wimbledon women ' s title ?|Cannot predict now
Did Lucie Safarova win the 2015 women ' s French Open ?|Without a doubt
Will the Boston Red Sox win the 2014 World Series ?|Outlook good
Had Roger Federer beat Novak Djokovic to win Wimbledon 2014 FINALS ?|Very doubtful
Did Obama sign any important tax bills in 2014 ?|Better not tell you now
Will Donald Trump run for president ?|Concentrate and ask again
Will Bernie Sanders be the frontrunner of Presidential candidates in 2016 ?|Very doubtful
Will congress review the Iran deal ?|Don’t count on it
Will Donald Trump run for President ?|Concentrate and ask again
Will gay marriage be legalized in 2015 ?|Very doubtful
Will gay marriage be legalized ?|Without a doubt
Did the UN meet for environmental purposes in 2014 ?|Yes
Will Donald Trump attempt to run for president ?|Better not tell you now
Will Elizabeth Warren run for president ?|My sources say no
Did any important political world leaders die in 2014 ?|Without a doubt
Was there concern for the stock market in July ?|Better not tell you now
Will the democrats retain the senate majority after the 2014 elections ?|Without a doubt
Was Gay Marriage legalized ?|Yes – definitely
Does Sanders pose a threat to Hillary|Concentrate and ask again
Does a celebrity enter the race for President of the US in 2015 ?|Outlook not so good
Will Marco Rubio run for president in the 2016 race ?|Concentrate and ask again
Will the conservatives win the 2015 UK election ?|Without a doubt
Will Scott Walker drop out of the US 2016 Presidential election ?|Outlook not so good
Did the Republicans win the senate elections ?|Without a doubt
Will President Obama Lift sanctions in Iran ?|Yes
Will Donald Trump run for President of the United States of America in 2016 ?|Yes
Will the Chicago Blackhawks win The Stanley Cup ?|Without a doubt
In 2015 will Donald Trump launch a campaign for the presidency ?|Reply hazy, try again
Will the US team win the 2015 Women ' s World Cup ?|Outlook good
Will The Pizza Man win the 2015 Arlington Million ?|Outlook good
Did the Kansas City Royals win the world series ?|Without a doubt
Will Mumbai Indians Win 2015 Indian Premier League ?|Yes
Will Tiger Woods win the 2015 Masters championship ?|Yes
Will Lewis Hamilton win the 2015 British Formula 1 Grand Prix ?|Very doubtful
Will Nico Rosberg win Austrian Grand Prix of Formula One ?|Cannot predict now
Will the Supreme Court rule in favor of same sex marriage ?|Outlook good
Will a crash in the US stock market cripple the US economy ?|Signs point to yes
Will the US stock market crash ?|Without a doubt
Will Hillary Clinton run for President in 2016 ?|Better not tell you now
Will the Patriots win the Super Bowl in 2015 ?|Without a doubt
Will Kobe Bryant return to the L.A. Lakers ?|Outlook not so good
Will Donald Trump run for president of the United States ?|Cannot predict now
Will the Cavaliers win the NBA Championship now that LeBron is back ?|It is decidedly so
Will the Atlanta Braves win the 2014 World Series ?|Outlook good
Does Kevin McCarthy run for speaker of the House ?|Reply hazy, try again
Is Donald Trump going to run for president ?|Outlook not so good
Will Tiger Woods win the 2015 US Open ?|Most likely
Will Russian troops enter the Ukraine in 2014 ?|My reply is no
Will Donald Trump stay out of the run for president ?|Concentrate and ask again
Will the Chinese Stock Market crash in 2015 ?|Yes
Will Donald Trump not run for president of the united states ?|Cannot predict now
Will Apple Stocks stop rising in 2015 first quarter ?|Concentrate and ask again
Will the Seattle Seahawks lose to the New England Patriots in Super Bowl XLIX ?|You may rely on it
Will the New England Patriots defeat the Seattle Seahawks in Super Bowl XLIX ?|Most likely
Will Mugabe lose power in Zimbabwe by elections in 2015 ?|It is decidedly so
Will Justin Gatlin lose to Usain Bolt at the 2015 World Championships in Beijing ?|You may rely on it
Will Usain Bolt beat Justin Gatlin at the 2015 World Championships in Beijing ?|You may rely on it
Will the Giants lose the World Series in 2014 ?|My reply is no
Will the Royals lose the World Series in 2014 ?|My reply is no
Will the USA lose the 2015 Women ' s World Cup ?|Better not tell you now
Will Japan win the 2015 Women ' s World Cup ?|Yes
Will William and Kate ' s new baby be a girl ?|Without a doubt
Did Serena Williams lose the 2015 Miami Open ?|Without a doubt
Did Maria Sharapova win the 2015 Miami Open ?|Yes
Will the Yankees stay away of the World Series in 2015 ?|Better not tell you now
Will the Washington Nationals be eliminated from the World Series ?|Without a doubt
Will the Royals stay out of the World Series in 2014 ?|You may rely on it
Will New Horizons fail the Pluto mission in 2015 ?|Reply hazy, try again
Will the Warriors make the Nba Finals in 2015 ?|My reply is no
Will Nick Clegg remain as leader of the Liberal Democrats ?|Outlook good
Will the Broncos lose the Super Bowl ?|Outlook not so good
Will Donald Trump refuse to run for President of the United States of America ?|You may rely on it
Did the New England Patriots lose the Super Bowl in 2015 ?|Cannot predict now
Will Gary Anderson win the 2015 World Darts Championship ?|Cannot predict now
Will Peyton Manning stay for the 2015 NFL season ?|Reply hazy, try again
Will Ed Miliband stay as the leader of the Labour party ?|It is decidedly so
Will the FCC in the US refuse to pass Net Neutrality ?|You may rely on it
Will Calgary Stampeders lose to Hamilton Tiger-Cats in the 102nd Grey Cup ?|Very doubtful
Will Hamilton Tiger-Cats win over Calgary Stampeders in the 102nd Grey Cup ?|My reply is no
Will England win the 2015 Ashes ?|Cannot predict now
Did Maria Sharapova win the 2015 Australian Open ?|Reply hazy, try again
Will the Giants stay out of the World Series in 2014 ?|You may rely on it
Will Brianne Theisen-Eaton win the Heptathlon at the 2015 World Athletics Championships ?|Without a doubt
Did the Lightning lose the Stanley Cup in 2015 ?|Better not tell you now
Will Hilary Clinton not run for president ?|It is decidedly so
Will the Chinese raise the value of their Yuan|Without a doubt
Will BANGLADESH win cricket series against SOUTH AFRICA ?|It is decidedly so
Will the Democrats lose their majority in the US Senate after the 2014 elections ?|You may rely on it
Will Donald Trump enter the presidential election ?|Outlook good
Will Ed Balls lose re-election ?|Without a doubt
Will Wisconsin lose the 2015 NCAA championship ?|Better not tell you now
Will the US Supreme Court rule marriage does not have to be ONLY between a man and a woman ?|Outlook not so good
Will Bangladesh win cricket series against India in 2015 ?|Cannot predict now
Will USA win the FIFA Women ' s World Cup in 2015 ?|Outlook good
Will Stan Wawrinka win the men ' s French Open 2015 championship ?|Without a doubt
Is John Boehner leaving as Speaker of the House ?|Without a doubt
Had Martin Cilic beat Roger Federer in US OPEN 2014 ?|Concentrate and ask again
Will Labour lose most of their seat in Scotland ?|Without a doubt
Will Japan lose the 2015 Women ' s World Cup ?|Without a doubt
Had Novak Djokovic beat Roger Federer to win Wimbledon 2014 FINALS ?|Very doubtful
Will Donald Trump abandon an attempt to run for president ?|Outlook good
Will Elizabeth Warren skip a run for president ?|Better not tell you now
Will the democrats lose the senate majority after the 2014 elections ?|Yes – definitely
Was Gay Marriage outlawed ?|Reply hazy, try again
Will Marco Rubio refuse to run for president in the 2016 race ?|Very doubtful
Will the labour lose the 2015 UK election ?|It is decidedly so
Did the Democrats win the senate elections ?|Outlook not so good
Did the Democrats lose the senate elections ?|Yes
Did the Republicans lose the senate elections ?|My reply is no
Will President Obama keep the Iran sanctions ?|Without a doubt
Did House Majority Leader Eric Cantor win the Republican Primary in 2014 ?|Concentrate and ask again
In 2015 will Donald Trump stay out of a campaign for the presidency ?|It is decidedly so
Will Jordan Spieth win the 2015 Masters championship ?|You may rely on it
Will the Supreme Court rule against same sex marriage ?|Without a doubt
Was Sgt . Bergdahl killed by the Taliban ?|Yes – definitely
Will Ukrainian troops enter Russia in 2014 ?|Outlook not so good
Did the Arizona Cardinals win the Super Bowl 2015 ?|Outlook good
Did the Green Bay Packers win the Super Bowl 2015 ?|Outlook good
Will the New York Giants win the Super Bowl 2015 ?|Reply hazy, try again
Did the New York Giants win the Super Bowl 2015 ?|Without a doubt
Did the Philadelphia Eagles win the Super Bowl 2015 ?|Concentrate and ask again
Will the Pittsburgh Steelers win the Super Bowl 2015 ?|You may rely on it
Did the Pittsburgh Steelers win the Super Bowl 2015 ?|Concentrate and ask again
Did the Los Angeles Rams win the Super Bowl 2015 ?|Reply hazy, try again
Will the San Francisco 49ers win the Super Bowl 2015 ?|You may rely on it
Did the San Francisco 49ers win the Super Bowl 2015 ?|Concentrate and ask again
Will the Indianapolis Colts win the Super Bowl 2015 ?|Concentrate and ask again
Did the Indianapolis Colts win the Super Bowl 2015 ?|Yes
Did the Dallas Cowboys win the Super Bowl 2015 ?|Better not tell you now
Will the Kansas City Chiefs win the Super Bowl 2015 ?|Concentrate and ask again
Did the Kansas City Chiefs win the Super Bowl 2015 ?|Yes
Will the Denver Broncos win the Super Bowl 2015 ?|Without a doubt
Will the New York Jets win the Super Bowl 2015 ?|Better not tell you now
Did the New York Jets win the Super Bowl 2015 ?|My reply is no
Will the New England Patriots win the Super Bowl 2015 ?|Without a doubt
Did the New England Patriots win the Super Bowl 2015 ?|You may rely on it
Will the New England Patriots lose the Super Bowl 2015 ?|Better not tell you now
Did the New England Patriots lose the Super Bowl 2015 ?|Without a doubt
will the New England Patriots win the Super Bowl 2015 finals ?|Cannot predict now
will the New England Patriots qualify for the Super Bowl 2015 ?|Very doubtful
will the New England Patriots win the Super Bowl finals ?|It is decidedly so
will the New England Patriots qualify for the Super Bowl ?|Cannot predict now
did the New England Patriots win the Super Bowl 2015 finals ?|Reply hazy, try again
did the New England Patriots qualify for the Super Bowl 2015 ?|Cannot predict now
did the New England Patriots win the Super Bowl finals ?|Better not tell you now
did the New England Patriots qualify for the Super Bowl ?|It is decidedly so
Will the Oakland Raiders win the Super Bowl 2015 ?|Reply hazy, try again
Did the Oakland Raiders win the Super Bowl 2015 ?|Without a doubt
Will the Tennessee Titans win the Super Bowl 2015 ?|Outlook good
Did the Tennessee Titans win the Super Bowl 2015 ?|Reply hazy, try again
Will the Buffalo Bills win the Super Bowl 2015 ?|Better not tell you now
Did the Buffalo Bills win the Super Bowl 2015 ?|My reply is no
Will the Minnesota Vikings win the Super Bowl 2015 ?|Yes
Did the Minnesota Vikings win the Super Bowl 2015 ?|Outlook good
Will the New Orleans Saints win the Super Bowl 2015 ?|Concentrate and ask again
Did the Seattle Seahawks win the Super Bowl 2015 ?|Reply hazy, try again
Did the Tampa Bay Buccaneers win the Super Bowl 2015 ?|You may rely on it
Will the Carolina Panthers win the Super Bowl 2015 ?|Yes
Did the Carolina Panthers win the Super Bowl 2015 ?|Outlook good
Will the Baltimore Ravens win the Super Bowl 2015 ?|Outlook good
Did the Baltimore Ravens win the Super Bowl 2015 ?|Reply hazy, try again
Will the Houston Texans win the Super Bowl 2015 ?|Without a doubt
Did the Houston Texans win the Super Bowl 2015 ?|Better not tell you now
Will the Boston Celtics win the NBA championship 2015 ?|Without a doubt
Did the Boston Celtics win the NBA championship 2015 ?|You may rely on it
Will the New York Knicks win the NBA championship 2015 ?|Better not tell you now
Did the New York Knicks win the NBA championship 2015 ?|Without a doubt
Will the Philadelphia 76ers win the NBA championship 2015 ?|Outlook good
Will the Toronto Raptors win the NBA championship 2015 ?|Better not tell you now
Did the Toronto Raptors win the NBA championship 2015 ?|Without a doubt
Did the Chicago Bulls win the NBA championship 2015 ?|Concentrate and ask again
Will the Cleveland Cavaliers win the NBA championship 2015 ?|Signs point to yes
Did the Cleveland Cavaliers win the NBA championship 2015 ?|Outlook good
Will the Detroit Pistons win the NBA championship 2015 ?|Better not tell you now
Did the Detroit Pistons win the NBA championship 2015 ?|Without a doubt
Did the Indiana Pacers win the NBA championship 2015 ?|You may rely on it
Will the Milwaukee Bucks win the NBA championship 2015 ?|Better not tell you now
Did the Milwaukee Bucks win the NBA championship 2015 ?|Without a doubt
Did the Atlanta Hawks win the NBA championship 2015 ?|Concentrate and ask again
Will the Miami Heat win the NBA championship 2015 ?|Outlook good
Did the Miami Heat win the NBA championship 2015 ?|Reply hazy, try again
Will the Orlando Magic win the NBA championship 2015 ?|You may rely on it
Did the Orlando Magic win the NBA championship 2015 ?|Concentrate and ask again
Will the Washington Wizards win the NBA championship 2015 ?|Outlook good
Did the Washington Wizards win the NBA championship 2015 ?|Cannot predict now
Will the Western Conference win the NBA championship 2015 ?|Outlook good
Will the Denver Nuggets win the NBA championship 2015 ?|Without a doubt
Did the Denver Nuggets win the NBA championship 2015 ?|You may rely on it
Will the Minnesota Timberwolves win the NBA championship 2015 ?|Very doubtful
Will the Portland Trail Blazers win the NBA championship 2015 ?|Very doubtful
Did the Portland Trail Blazers win the NBA championship 2015 ?|Cannot predict now
Will the Utah Jazz win the NBA championship 2015 ?|Reply hazy, try again
Did the Utah Jazz win the NBA championship 2015 ?|Without a doubt
Will the Golden State Warriors win the NBA championship 2015 ?|Cannot predict now
Did the Golden State Warriors win the NBA championship 2015 ?|Reply hazy, try again
Will the Golden State Warriors lose the NBA championship 2015 ?|Very doubtful
Did the Golden State Warriors lose the NBA championship 2015 ?|Cannot predict now
will the Golden State Warriors win the NBA championship 2015 finals ?|It is decidedly so
will the Golden State Warriors win the NBA championship 2015 quarter-finals ?|Yes
will the Golden State Warriors qualify for the NBA championship 2015 ?|Yes – definitely
will the Golden State Warriors win the NBA championship finals ?|Reply hazy, try again
will the Golden State Warriors win the NBA championship semi-finals ?|It is decidedly so
will the Golden State Warriors win the NBA championship quarter-finals ?|Without a doubt
will the Golden State Warriors qualify for the NBA championship ?|Outlook not so good
did the Golden State Warriors win the NBA championship 2015 finals ?|Very doubtful
did the Golden State Warriors win the NBA championship 2015 quarter-finals ?|My reply is no
did the Golden State Warriors qualify for the NBA championship 2015 ?|It is decidedly so
did the Golden State Warriors win the NBA championship finals ?|Very doubtful
did the Golden State Warriors win the NBA championship semi-finals ?|Very doubtful
did the Golden State Warriors win the NBA championship quarter-finals ?|Don’t count on it
did the Golden State Warriors qualify for the NBA championship ?|Reply hazy, try again
Will the Los Angeles Clippers win the NBA championship 2015 ?|Reply hazy, try again
Did the Los Angeles Clippers win the NBA championship 2015 ?|Signs point to yes
Will the Los Angeles Lakers win the NBA championship 2015 ?|Outlook good
Did the Los Angeles Lakers win the NBA championship 2015 ?|Cannot predict now
Will the Phoenix Suns win the NBA championship 2015 ?|Concentrate and ask again
Did the Phoenix Suns win the NBA championship 2015 ?|Yes
Will the Sacramento Kings win the NBA championship 2015 ?|It is decidedly so
Did the Sacramento Kings win the NBA championship 2015 ?|Better not tell you now
Did the Dallas Mavericks win the NBA championship 2015 ?|Better not tell you now
Will the Houston Rockets win the NBA championship 2015 ?|Better not tell you now
Did the Memphis Grizzlies win the NBA championship 2015 ?|It is decidedly so
Will the New Orleans Hornets win the NBA championship 2015 ?|Signs point to yes
Did the New Orleans Hornets win the NBA championship 2015 ?|Outlook good
Did the San Antonio Spurs win the NBA championship 2015 ?|It is decidedly so
Will the Boston Celtics win the NBA championship 2014 ?|Without a doubt
Did the Boston Celtics win the NBA championship 2014 ?|You may rely on it
Will the New Jersey Nets win the NBA championship 2014 ?|Better not tell you now
Did the New Jersey Nets win the NBA championship 2014 ?|Without a doubt
Will the New York Knicks win the NBA championship 2014 ?|Better not tell you now
Did the New York Knicks win the NBA championship 2014 ?|Without a doubt
Will the Philadelphia 76ers win the NBA championship 2014 ?|Outlook good
Will the Toronto Raptors win the NBA championship 2014 ?|Better not tell you now
Will the Chicago Bulls win the NBA championship 2014 ?|You may rely on it
Did the Chicago Bulls win the NBA championship 2014 ?|Concentrate and ask again
Will the Cleveland Cavaliers win the NBA championship 2014 ?|Signs point to yes
Did the Cleveland Cavaliers win the NBA championship 2014 ?|Outlook good
Will the Detroit Pistons win the NBA championship 2014 ?|Better not tell you now
Will the Indiana Pacers win the NBA championship 2014 ?|Without a doubt
Did the Indiana Pacers win the NBA championship 2014 ?|You may rely on it
Will the Milwaukee Bucks win the NBA championship 2014 ?|Better not tell you now
Did the Milwaukee Bucks win the NBA championship 2014 ?|Without a doubt
Will the Atlanta Hawks win the NBA championship 2014 ?|You may rely on it
Did the Atlanta Hawks win the NBA championship 2014 ?|Concentrate and ask again
Will the Charlotte Bobcats win the NBA championship 2014 ?|Cannot predict now
Did the Charlotte Bobcats win the NBA championship 2014 ?|It is decidedly so
Will the Miami Heat win the NBA championship 2014 ?|Outlook good
Did the Miami Heat win the NBA championship 2014 ?|Reply hazy, try again
Will the Orlando Magic win the NBA championship 2014 ?|You may rely on it
Will the Washington Wizards win the NBA championship 2014 ?|Outlook good
Did the Washington Wizards win the NBA championship 2014 ?|Cannot predict now
Will the Western Conference win the NBA championship 2014 ?|Outlook good
Did the Western Conference win the NBA championship 2014 ?|Cannot predict now
Will the Denver Nuggets win the NBA championship 2014 ?|Without a doubt
Will the Minnesota Timberwolves win the NBA championship 2014 ?|Very doubtful
Did the Minnesota Timberwolves win the NBA championship 2014 ?|Cannot predict now
Did the Oklahoma City Thunder win the NBA championship 2014 ?|Reply hazy, try again
Will the Portland Trail Blazers win the NBA championship 2014 ?|Very doubtful
Will the Utah Jazz win the NBA championship 2014 ?|Reply hazy, try again
Will the Golden State Warriors win the NBA championship 2014 ?|Cannot predict now
Will the Los Angeles Clippers win the NBA championship 2014 ?|Reply hazy, try again
Will the Los Angeles Lakers win the NBA championship 2014 ?|Outlook good
Did the Los Angeles Lakers win the NBA championship 2014 ?|Cannot predict now
Will the Phoenix Suns win the NBA championship 2014 ?|Concentrate and ask again
Will the Dallas Mavericks win the NBA championship 2014 ?|It is decidedly so
Did the Dallas Mavericks win the NBA championship 2014 ?|Better not tell you now
Will the Houston Rockets win the NBA championship 2014 ?|Better not tell you now
Did the Houston Rockets win the NBA championship 2014 ?|Without a doubt
Will the Memphis Grizzlies win the NBA championship 2014 ?|Cannot predict now
Did the Memphis Grizzlies win the NBA championship 2014 ?|It is decidedly so
Will the New Orleans Hornets win the NBA championship 2014 ?|Signs point to yes
Did the New Orleans Hornets win the NBA championship 2014 ?|Outlook good
Will the San Antonio Spurs win the NBA championship 2014 ?|Cannot predict now
Did the San Antonio Spurs win the NBA championship 2014 ?|It is decidedly so
Will the San Antonio Spurs lose the NBA championship 2014 ?|Outlook good
Did the San Antonio Spurs lose the NBA championship 2014 ?|Cannot predict now
will the San Antonio Spurs win the NBA championship 2014 finals ?|Outlook not so good
will the San Antonio Spurs win the NBA championship 2014 semi-finals ?|Yes – definitely
will the San Antonio Spurs win the NBA championship 2014 quarter-finals ?|Yes
will the San Antonio Spurs qualify for the NBA championship 2014 ?|Without a doubt
will the San Antonio Spurs win the NBA championship finals ?|Signs point to yes
will the San Antonio Spurs win the NBA championship semi-finals ?|Outlook not so good
will the San Antonio Spurs win the NBA championship quarter-finals ?|Very doubtful
will the San Antonio Spurs qualify for the NBA championship ?|Reply hazy, try again
did the San Antonio Spurs win the NBA championship 2014 finals ?|Reply hazy, try again
did the San Antonio Spurs win the NBA championship 2014 semi-finals ?|It is decidedly so
did the San Antonio Spurs win the NBA championship 2014 quarter-finals ?|Without a doubt
did the San Antonio Spurs qualify for the NBA championship 2014 ?|Outlook not so good
did the San Antonio Spurs win the NBA championship finals ?|Outlook good
did the San Antonio Spurs win the NBA championship semi-finals ?|Reply hazy, try again
did the San Antonio Spurs win the NBA championship quarter-finals ?|Without a doubt
did the San Antonio Spurs qualify for the NBA championship ?|Signs point to yes
Did the Atlanta Braves win the World Series 2015 ?|Reply hazy, try again
Will the New York Mets win the World Series 2015 ?|Reply hazy, try again
Did the New York Mets win the World Series 2015 ?|Without a doubt
Will the Washington Nationals win the World Series 2015 ?|It is decidedly so
Did the Washington Nationals win the World Series 2015 ?|Better not tell you now
Will the Houston Astros win the World Series 2015 ?|Outlook good
Did the Houston Astros win the World Series 2015 ?|Reply hazy, try again
Will the Pittsburgh Pirates win the World Series 2015 ?|Without a doubt
Did the Pittsburgh Pirates win the World Series 2015 ?|You may rely on it
Will the San Diego Padres win the World Series 2015 ?|Concentrate and ask again
Did the San Diego Padres win the World Series 2015 ?|Yes
Will the San Francisco Giants win the World Series 2015 ?|It is decidedly so
Did the San Francisco Giants win the World Series 2015 ?|Better not tell you now
Will the Baltimore Orioles win the World Series 2015 ?|You may rely on it
Did the Baltimore Orioles win the World Series 2015 ?|Concentrate and ask again
Will the Boston Red Sox win the World Series 2015 ?|Outlook good
Did the Boston Red Sox win the World Series 2015 ?|Reply hazy, try again
Did the New York Yankees win the World Series 2015 ?|Yes
Will the Toronto Blue Jays win the World Series 2015 ?|You may rely on it
Did the Toronto Blue Jays win the World Series 2015 ?|Concentrate and ask again
Did the Detroit Tigers win the World Series 2015 ?|Reply hazy, try again
Will the Kansas City Royals win the World Series 2015 ?|Without a doubt
Did the Kansas City Royals win the World Series 2015 ?|You may rely on it
Will the Kansas City Royals lose the World Series 2015 ?|Better not tell you now
Did the Kansas City Royals lose the World Series 2015 ?|Without a doubt
will the Kansas City Royals qualify for the World Series 2015 ?|Very doubtful
will the Kansas City Royals qualify for the World Series ?|Cannot predict now
did the Kansas City Royals win the World Series 2015 finals ?|Reply hazy, try again
did the Kansas City Royals qualify for the World Series 2015 ?|Cannot predict now
did the Kansas City Royals win the World Series finals ?|Better not tell you now
did the Kansas City Royals qualify for the World Series ?|It is decidedly so
Will the Los Angeles Angels win the World Series 2015 ?|Without a doubt
Did the Los Angeles Angels win the World Series 2015 ?|You may rely on it
Will the Oakland Athletics win the World Series 2015 ?|You may rely on it
Did the Oakland Athletics win the World Series 2015 ?|Concentrate and ask again
Did the Texas Rangers win the World Series 2015 ?|Without a doubt
Will the New Jersey Devils win the Stanley Cup 2015 ?|Concentrate and ask again
Did the New Jersey Devils win the Stanley Cup 2015 ?|Yes
Will the New York Islanders win the Stanley Cup 2015 ?|You may rely on it
Did the New York Islanders win the Stanley Cup 2015 ?|Concentrate and ask again
Will the New York Rangers win the Stanley Cup 2015 ?|Yes
Did the New York Rangers win the Stanley Cup 2015 ?|Outlook good
Will the Pittsburgh Penguins win the Stanley Cup 2015 ?|Without a doubt
Did the Pittsburgh Penguins win the Stanley Cup 2015 ?|You may rely on it
Will the Boston Bruins win the Stanley Cup 2015 ?|Without a doubt
Did the Boston Bruins win the Stanley Cup 2015 ?|Better not tell you now
Did the Ottawa Senators win the Stanley Cup 2015 ?|Reply hazy, try again
Will the Tampa Bay Lightning win the Stanley Cup 2015 ?|Without a doubt
Did the Tampa Bay Lightning win the Stanley Cup 2015 ?|You may rely on it
Will the Chicago Blackhawks lose the Stanley Cup 2015 ?|Without a doubt
Did the Chicago Blackhawks lose the Stanley Cup 2015 ?|You may rely on it
will the Chicago Blackhawks qualify for the Stanley Cup 2015 ?|Cannot predict now
will the Chicago Blackhawks win the Stanley Cup finals ?|Better not tell you now
will the Chicago Blackhawks qualify for the Stanley Cup ?|It is decidedly so
did the Chicago Blackhawks qualify for the Stanley Cup 2015 ?|Reply hazy, try again
did the Chicago Blackhawks win the Stanley Cup finals ?|Without a doubt
did the Chicago Blackhawks qualify for the Stanley Cup ?|Better not tell you now
Will the Columbus Blue Jackets win the Stanley Cup 2015 ?|It is decidedly so
Did the Columbus Blue Jackets win the Stanley Cup 2015 ?|Better not tell you now
Will the Detroit Red Wings win the Stanley Cup 2015 ?|Concentrate and ask again
Did the Detroit Red Wings win the Stanley Cup 2015 ?|Yes
Will the Minnesota Wild win the Stanley Cup 2015 ?|Reply hazy, try again
Did the Minnesota Wild win the Stanley Cup 2015 ?|Without a doubt
Will the Vancouver Canucks win the Stanley Cup 2015 ?|Concentrate and ask again
Did the Vancouver Canucks win the Stanley Cup 2015 ?|Yes
Will the Anaheim Ducks win the Stanley Cup 2015 ?|Without a doubt
Did the Anaheim Ducks win the Stanley Cup 2015 ?|Better not tell you now
Did the Dallas Stars win the Stanley Cup 2015 ?|My reply is no
Will the Los Angeles Kings win the Stanley Cup 2015 ?|Concentrate and ask again
Did the Los Angeles Kings win the Stanley Cup 2015 ?|Yes
Will the San Jose Sharks win the Stanley Cup 2015 ?|Outlook good
Will the New York Rangers win the Stanley Cup 2014 ?|Yes
Did the New York Rangers win the Stanley Cup 2014 ?|Outlook good
Will the Boston Bruins win the Stanley Cup 2014 ?|Without a doubt
Did the Boston Bruins win the Stanley Cup 2014 ?|Better not tell you now
